mode,cores,threads,pf,stage,count,avg,std,p50,p90,p99,p999,trimmed_mean
mmap,2,2,0.8,4_block_layer,105,4144.480797189998,4096.603674335668,2896.309375740099,11585.237502960395,22707.065505802304,23170.47500592079,3992.9702073310086
mmap,2,2,0.8,5_driver_ssd,130,260935.19545129256,148906.72721786014,185363.80004736633,370727.60009473265,741455.2001894653,741455.2001894653,258495.61178480386
mmap,2,2,0.8,6_context_switch,66,184083675.1867646,1483941434.7378385,11585.237502960395,34755.71250888119,4252041672.9064627,11358405967.20446,184083675.1867646
fread,1,2,0.6,2_kernel_entry,612362,376.2532963075508,258.0502871526088,362.03867196751236,362.03867196751236,724.0773439350247,724.0773439350247,367.3318607974098
fread,1,2,0.6,3_filesystem,40,95288.57846184926,256682.95716295618,23170.47500592079,185363.80004736633,1193742.8723050389,1453993.6475715456,95288.57846184926
fread,1,2,0.6,4_block_layer,76,3915.734057332831,4118.134101319953,2896.309375740099,11585.237502960395,14481.546878700494,22301.582193198894,3915.734057332831
fread,1,2,0.6,5_driver_ssd,108,261740.5509928089,157442.4275945645,185363.80004736633,370727.60009473265,741455.2001894653,741455.2001894653,258809.83402839827
fread,1,2,0.6,6_context_switch,3228,6711256.664700923,213730430.8570022,2965820.800757861,2965820.800757861,5931641.601515722,5931641.601515722,2945667.4672508156
mmap,1,2,0.2,2_kernel_entry,1125,1522.815107333572,1197.3045258176003,1448.1546878700494,2896.309375740099,5792.618751480198,11585.237502960395,1472.4437737500095
mmap,1,2,0.2,3_filesystem,26,162193.32504144555,239508.93071385106,34755.71250888119,556091.400142099,741455.2001894653,741455.2001894653,162193.32504144555
mmap,1,2,0.2,4_block_layer,70,3703.138416124841,3388.5910324655765,2896.309375740099,11585.237502960395,11585.237502960395,11585.237502960395,3703.138416124841
mmap,1,2,0.2,5_driver_ssd,102,261690.07065510532,158104.41768745953,185363.80004736633,370727.60009473265,741455.2001894653,741455.2001894653,258582.501066076
mmap,1,2,0.2,6_context_switch,3369,6472564.559204407,209212811.8148007,2965820.800757861,2965820.800757861,2965820.800757861,4840219.546838362,2891069.186569824
mmap,4,4,0.8,2_kernel_entry,1470,1785.0723091296122,1552.2528046507189,1448.1546878700494,2896.309375740099,5792.618751480198,11585.237502960395,1724.3284320893727
mmap,4,4,0.8,3_filesystem,24,136971.29756104216,218039.84200242956,23170.47500592079,370727.60009473265,741455.2001894653,741455.2001894653,136971.29756104216
mmap,4,4,0.8,4_block_layer,78,3852.462791449169,3152.9701714475727,2896.309375740099,11585.237502960395,11585.237502960395,11585.237502960395,3852.462791449169
mmap,4,4,0.8,5_driver_ssd,103,291543.0641521683,217802.08865703415,185363.80004736633,741455.2001894653,741455.2001894653,1407281.969959613,281716.2703690171
mmap,4,4,0.8,6_context_switch,67,181341388.29493922,1472994097.041858,23170.47500592079,46340.95001184158,4130443020.075501,11346246101.921467,181341388.29493922
mmap,4,8,0.4,2_kernel_entry,1431,1892.9233708322347,2277.4655644537056,1448.1546878700494,2896.309375740099,5792.618751480198,36377.645759299434,1778.9697822836995
mmap,4,8,0.4,3_filesystem,8,190432.3414549115,258574.70057219442,11585.237502960395,481945.8801231524,715504.2681828339,738860.1069888023,190432.3414549115
mmap,4,8,0.4,4_block_layer,55,4594.599873333157,3253.4973077043833,2896.309375740099,11585.237502960395,11585.237502960395,11585.237502960395,4594.599873333157
mmap,4,8,0.4,5_driver_ssd,58,242890.49661379034,120262.03743643076,185363.80004736633,370727.60009473265,530140.4681354676,720323.7269840674,242890.49661379034
mmap,4,8,0.4,6_context_switch,13404,3851748.770042455,104897974.94041415,2965820.800757861,2965820.800757861,2965820.800757861,2965820.800757861,2965820.800757862
mmap,4,8,0.2,2_kernel_entry,1348,1851.016711572771,1896.0063901266724,1448.1546878700494,2896.309375740099,5792.618751480198,11585.237502960395,1783.9031083179848
mmap,4,8,0.2,3_filesystem,24,136971.29756104216,218039.84200242956,23170.47500592079,370727.60009473265,741455.2001894653,741455.2001894653,136971.29756104216
mmap,4,8,0.2,4_block_layer,89,4425.821068546667,3853.592003557537,2896.309375740099,11585.237502960395,12975.466003315696,22150.97410566035,4425.821068546667
mmap,4,8,0.2,5_driver_ssd,111,273035.86763733684,161173.40273557702,185363.80004736633,370727.60009473265,741455.2001894653,741455.2001894653,270393.0661241399
mmap,4,8,0.2,6_context_switch,13403,3852121.290721712,104901876.81922875,2965820.800757861,2965820.800757861,2965820.800757861,2965820.800757861,2964804.722067081
fread,4,4,0.6,2_kernel_entry,651623,575.0883544219465,340.5565920902806,724.0773439350247,724.0773439350247,724.0773439350247,1448.1546878700494,567.7085628079499
fread,4,4,0.6,3_filesystem,5,97315.99502486731,77750.66860882935,92681.90002368316,185363.80004736633,185363.80004736633,185363.80004736633,97315.99502486731
fread,4,4,0.6,4_block_layer,15,6661.511564202227,4634.095001184159,2896.309375740099,11585.237502960395,11585.237502960395,11585.237502960395,6661.511564202227
fread,4,4,0.6,5_driver_ssd,18,520048.43902177777,1314043.1551935473,185363.80004736633,370727.60009473265,4986286.221274145,5837106.063491569,520048.43902177777
fread,4,4,0.6,6_context_switch,104,116831661.78814745,1185466439.6039755,11585.237502960395,23170.47500592079,365166.68609331147,10896795978.856945,24363.072984166716
fread,1,1,0.2,2_kernel_entry,800840,372.4336537656502,226.67802245218107,362.03867196751236,362.03867196751236,724.0773439350247,1448.1546878700494,364.1707968029323
fread,1,1,0.2,3_filesystem,31,48396.39537527004,75243.62662520196,23170.47500592079,92681.90002368316,315118.46008052264,365166.6860933121,48396.39537527004
fread,1,1,0.2,4_block_layer,58,3757.711733180042,3576.3165474496845,2896.309375740099,11585.237502960395,11585.237502960395,11585.237502960395,3757.711733180042
fread,1,1,0.2,5_driver_ssd,63,186834.94131758346,55980.74320946176,185363.80004736633,185363.80004736633,370727.60009473265,370727.60009473265,186834.94131758346
fread,1,1,0.2,6_context_switch,54,224995073.9427943,1637750958.5373037,11585.237502960395,23170.47500592079,5709953911.211061,11504197191.03492,224995073.9427943
fread,1,2,0.0,2_kernel_entry,2613466,369.8544315268149,223.22336468180382,362.03867196751236,362.03867196751236,362.03867196751236,724.0773439350247,362.0386719675143
