mode,cores,threads,pf,stage,count,avg,std,p50,p90,p99,p999,trimmed_mean
fread,2,4,0.5,3_filesystem,38,69663.86235332764,142891.03762958237,11585.237502960395,185363.80004736633,604285.9881544152,727738.2789859605,69663.86235332764
fread,2,4,0.5,4_block_layer,37,4618.439274828807,3985.008998581162,2896.309375740099,11585.237502960395,11585.237502960395,11585.237502960395,4618.439274828807
fread,2,4,0.5,5_driver_ssd,74,141214.651725274,99453.67170562981,185363.80004736633,185363.80004736633,370727.60009473265,370727.60009473265,141214.651725274
fread,2,4,0.5,6_context_switch,6989,4560883.726387228,145267708.36760247,2965820.800757861,2965820.800757861,2965820.800757861,2965820.800757861,2849450.9709514505
mmap,4,4,0.5,1_user_space,2,6074003896.261476,6073998103.642724,6074003896.261476,10933202379.175655,12026522037.831345,12135854003.696915,6074003896.261476
mmap,4,4,0.5,2_kernel_entry,1155,1908.3042726737797,3168.4202902018114,1448.1546878700494,2896.309375740099,5792.618751480198,23170.47500592079,1759.3865206117591
mmap,4,4,0.5,3_filesystem,29,163991.0343091463,232362.24542936194,23170.47500592079,444873.1201136789,741455.2001894653,741455.2001894653,163991.0343091463
mmap,4,4,0.5,4_block_layer,95,5586.828348467084,18816.2357518161,2896.309375740099,11585.237502960395,22011.951255625147,169028.6151681932,5586.828348467084
mmap,4,4,0.5,5_driver_ssd,207,198012.41683803807,184148.21957054743,185363.80004736633,370727.60009473265,741455.2001894653,1482910.4003789306,187190.04438280835
mmap,4,4,0.5,6_context_switch,86,141298372.54239255,1302309859.6878996,23170.47500592079,46340.95001184158,1822515418.4457798,11115453341.758427,141298372.54239255
fread,1,1,0.5,1_user_space,1,23170.47500592079,0.0,23170.47500592079,23170.47500592079,23170.47500592079,23170.47500592079,23170.47500592079
fread,1,1,0.5,2_kernel_entry,2322568,370.15620647301847,242.16769628990903,362.03867196751236,362.03867196751236,362.03867196751236,724.0773439350247,362.0386719675142
fread,1,1,0.5,3_filesystem,38,74541.85709141623,151742.23711868734,5792.618751480198,240972.940061577,604285.9881544152,727738.2789859605,74541.85709141623
fread,1,1,0.5,4_block_layer,37,4755.426880438135,4306.925603929026,2896.309375740099,11585.237502960395,11585.237502960395,11585.237502960395,4755.426880438135
fread,1,1,0.5,5_driver_ssd,74,158435.95071616105,104355.95652208432,185363.80004736633,370727.60009473265,370727.60009473265,370727.60009473265,158435.95071616105
fread,1,1,0.5,6_context_switch,323,37623202.26129735,674885025.3650371,5792.618751480198,23170.47500592079,92681.90002368316,8236405043.07932,12608.53923823765
mmap,2,2,1.0,1_user_space,2,6074003896.261476,6073998103.642724,6074003896.261476,10933202379.175655,12026522037.831345,12135854003.696915,6074003896.261476
mmap,2,2,1.0,2_kernel_entry,1115,1523.484707508133,1317.9288465784366,1448.1546878700494,2896.309375740099,5792.618751480198,10924.87896529278,1467.3662550924794
mmap,2,2,1.0,3_filesystem,27,197163.57898556677,278010.97562954435,23170.47500592079,741455.2001894653,741455.2001894653,741455.2001894653,197163.57898556677
mmap,2,2,1.0,4_block_layer,83,3489.529368361564,3281.0855413278723,2896.309375740099,11585.237502960395,11585.237502960395,11585.237502960395,3489.529368361564
mmap,2,2,1.0,5_driver_ssd,112,1094184.3063063845,8905517.596611584,185363.80004736633,370727.60009473265,741455.2001894653,84453971.66718161,251189.01313236853
mmap,2,2,1.0,6_context_switch,61,199168085.33695933,1542587825.5711145,11585.237502960395,23170.47500592079,4859312018.241691,11419133001.738008,199168085.33695933
mmap,1,2,1.0,1_user_space,1,5792.618751480198,0.0,5792.618751480198,5792.618751480198,5792.618751480198,5792.618751480198,5792.618751480198
mmap,1,2,1.0,2_kernel_entry,997,1484.4674934836416,1239.9048819797008,1448.1546878700494,2896.309375740099,5792.618751480198,11631.578452973776,1428.1852412038131
mmap,1,2,1.0,3_filesystem,27,169487.7338396058,238519.9563896849,23170.47500592079,519018.6401326265,741455.2001894653,741455.2001894653,169487.7338396058
mmap,1,2,1.0,4_block_layer,97,4105.59318726045,3785.6482977594255,2896.309375740099,11585.237502960395,12048.647003078719,22058.292205636717,4105.59318726045
mmap,1,2,1.0,5_driver_ssd,118,237497.3688106881,109010.95082916197,185363.80004736633,370727.60009473265,370727.60009473265,698080.0709783852,235100.42312042043
mmap,1,2,1.0,6_context_switch,3375,6402601.2438231055,209028089.56573588,2965820.800757861,2965820.800757861,2965820.800757861,2965820.800757861,2826671.9100604737
mmap,4,8,0.0,1_user_space,3,8098669930.809051,5726620330.666667,12148001999.9042,12148001999.9042,12148001999.9042,12148001999.9042,8098669930.809051
mmap,4,8,0.0,2_kernel_entry,990,1512.517118442052,1263.012537328928,1448.1546878700494,2896.309375740099,5792.618751480198,11712.675115493897,1456.3489787993556
mmap,4,8,0.0,3_filesystem,26,169879.68453860196,242472.9575319604,34755.71250888119,556091.400142099,741455.2001894653,741455.2001894653,169879.68453860196
mmap,4,8,0.0,4_block_layer,87,4086.4594927827243,3927.728094746344,2896.309375740099,11585.237502960395,13207.170753374858,22174.14458066638,4086.4594927827243
mmap,4,8,0.0,5_driver_ssd,115,246815.9294108954,144224.31299716939,185363.80004736633,370727.60009473265,741455.2001894653,741455.2001894653,244520.27827044728
mmap,4,8,0.0,6_context_switch,13644,3772080.8170909397,103972668.02927397,2965820.800757861,2965820.800757861,2965820.800757861,2965820.800757861,2908799.114286516
mmap,2,4,0.0,1_user_space,2,6074003896.261476,6073998103.642724,6074003896.261476,10933202379.175655,12026522037.831345,12135854003.696915,6074003896.261476
mmap,2,4,0.0,2_kernel_entry,1078,1468.97694915204,1066.369983534748,1448.1546878700494,2896.309375740099,5792.618751480198,11139.205859097749,1424.2012785716317
mmap,2,4,0.0,3_filesystem,26,169211.30545189272,242900.0167442218,34755.71250888119,556091.400142099,741455.2001894653,741455.2001894653,169211.30545189272
mmap,2,4,0.0,4_block_layer,94,3951.6135897730587,3270.163310856824,2896.309375740099,11585.237502960395,11585.237502960395,11585.237502960395,3951.6135897730587
mmap,2,4,0.0,5_driver_ssd,113,254567.65238805892,163944.79636962144,185363.80004736633,370727.60009473265,741455.2001894653,741455.2001894653,252370.30884827234
mmap,2,4,0.0,6_context_switch,6716,4738080.960373551,148188053.5668054,2965820.800757861,2965820.800757861,2965820.800757861,2965820.800757861,2952077.6323556867
fread,4,8,0.0,1_user_space,8,95578.20939942326,69932.52793943603,46340.95001184158,185363.80004736633,185363.80004736633,185363.80004736633,95578.20939942326
fread,4,8,0.0,2_kernel_entry,7921248,587.8418087775273,312.3143000268237,724.0773439350247,724.0773439350247,724.0773439350247,724.0773439350247,582.5996087949419
fread,4,8,0.0,3_filesystem,37,71233.55491685108,143862.75162962964,11585.237502960395,185363.80004736633,607993.2641553618,728109.006586057,71233.55491685108
fread,4,8,0.0,4_block_layer,38,4858.940071142931,5038.257166895949,2896.309375740099,11585.237502960395,18883.937129825474,22741.821218311266,4858.940071142931
fread,4,8,0.0,5_driver_ssd,76,154342.80225983416,114482.64638640369,185363.80004736633,370727.60009473265,370727.60009473265,370727.60009473265,154342.80225983416
